Account Name,Industry,Company Size,Revenue ($),Rubrik ARR ($),Engagement Score,Event Attendance,Renewal Date,Last Contacted Date,Open Support Tickets,Usage Trend,Primary Contact Title,Region,Strategic Account,Expansion Potential
VisionPulse,Finance,2962,2524107,361209,82,Yes,2025-02-26,2024-06-15,4,Down,CTO,West,No,0
FusionSolutions,Finance,65,932716,134259,68,No,2025-03-10,2024-05-13,1,Up,Director of Ops,East,Yes,0
CloudSolutions,Healthcare,2375,189024,11273,10,No,2025-06-01,2024-05-31,0,Up,CTO,International,No,1
BlueFlow,Retail,2611,215210,21383,78,Yes,2025-01-05,2024-06-12,0,Down,VP Engineering,West,No,1
NovaFlow,Healthcare,4952,50737,3428,36,Yes,2024-11-05,2024-06-24,4,Stable,VP Engineering,West,No,1
NextGlobal,Healthcare,1693,339617,22788,100,Yes,2024-09-17,2024-07-10,5,Down,Director of Ops,Central,Yes,1
BrightFlow,Finance,1597,185384,24823,34,Yes,2025-01-20,2024-07-07,5,Up,VP Engineering,East,No,0
OmniNetworks,Manufacturing,3820,693756,101172,24,No,2025-02-15,2024-05-07,0,Down,VP Engineering,International,No,0
CoreGlobal,SaaS,1821,1585333,291032,9,No,2025-05-16,2024-07-17,1,Stable,CTO,International,Yes,0
SecureWorks,Finance,2599,2690783,385968,74,Yes,2024-09-25,2024-06-08,0,Stable,Director of Ops,International,Yes,0
SecureSolutions,Retail,4142,238991,44078,9,Yes,2024-12-30,2024-05-23,1,Stable,CIO,Central,No,0
NovaSync,Healthcare,1403,3826221,239040,26,Yes,2025-06-24,2024-05-01,5,Up,CIO,West,No,1
OmniWorks,Finance,2881,177127,9439,44,No,2024-10-29,2024-05-03,3,Stable,VP Engineering,Central,No,1
ApexInnovations,SaaS,4398,266299,50452,43,No,2024-08-25,2024-06-06,3,Stable,VP Engineering,West,Yes,0
CloudCloud,Retail,3131,2934650,245821,95,No,2025-04-14,2024-06-04,2,Stable,CIO,International,Yes,1
BlueWorks,SaaS,184,89370,17288,67,Yes,2024-11-08,2024-07-12,4,Up,IT Manager,East,No,0
NexAnalytics,Finance,2150,79529,4606,79,Yes,2025-07-17,2024-07-03,1,Down,VP Engineering,International,No,1
PrimeSphere,Retail,2608,4081753,783384,48,No,2024-10-28,2024-05-06,5,Down,CIO,International,No,0
QuantumCloud,Finance,526,52316,5450,57,No,2024-12-02,2024-06-02,1,Up,CIO,West,No,0
FastSphere,Finance,4039,646780,96673,24,Yes,2024-11-23,2024-06-14,2,Down,VP Engineering,East,No,0
VisionDynamics,Healthcare,4341,1178984,94373,87,No,2025-07-17,2024-05-11,0,Down,Director of Ops,East,Yes,1
GreenCloud,SaaS,1096,965339,58989,17,Yes,2025-05-05,2024-06-26,5,Down,Director of Ops,Central,No,1
HyperSphere,Healthcare,903,2038050,210019,63,Yes,2025-02-07,2024-07-12,3,Up,CIO,East,Yes,0
BlueInnovations,Retail,1867,58207,8381,97,Yes,2025-02-05,2024-07-18,5,Up,CIO,International,Yes,0
CoreEdge,Manufacturing,4154,177992,31018,78,Yes,2025-07-27,2024-06-13,5,Stable,VP Engineering,Central,Yes,0
BrightAnalytics,Finance,79,757159,146371,37,No,2024-09-02,2024-07-23,1,Up,CIO,Central,No,0
MetaGlobal,Manufacturing,867,4793335,243422,13,Yes,2025-02-19,2024-06-01,0,Stable,IT Manager,Central,No,1
